App Name,Skill(s),Product(s),Description,Resource Type ,Resource Links,Website URL (if applicable):,Resources,Audit Date
"""Iron Chef"" EduProtocol","Communication, Collaboration (WICOR), Creativity/Design, Critical Thinking, Research","Performance, Visual","In small groups (3-4), students respond to a prompt on a shared Google slide (see template in resources) and then do a short presentation to teach the class what they have learned - similar to a jigsaw.

Sample prompts for different groups for . . .Science
- Describe the first phase of photosynthesis. 
- Describe the second phase of photosynthesis?
- What parts of the cell are involved in photosynthesis?
- What is ATP?  Explain the parts.

Sample prompts for different groups for . . .Social Studies 
- List some reasons why countries go to war.  Explain each one.
- What was the political and economic situation in Germany before WWII?
- What sparked WWII and why?
- Describe the alliances formed between countries in WWII.
- Describe the weaponry and tactics used in WWII.",Strategy,"Video: Iron Chef Lesson
Video: Iron Chef 101
Iron Chef Lesson Google Slides Template",Loading...,Loading...,
"""Stop Thinking For Students"" Strategies",,,,,,,,
10-2-2: Updating Notes Method,"Collaboration (WICOR), Critical Thinking",Writing,"Updating Notes takes minimal preparation and it is a great way to use the 
Here’s how to do it:
- Lecture for 10 minutes
- Give students 2 minutes to share and compare their notes with a partner (collaboration).
- Give students 2 minutes to make revisions in their notes.

This technique allows students to take a break from listening, reflect, interact with peers, fill in gaps, develop joint questions as well as encouraging them to create better notes.",Strategy,"Video: 10-2-2 Method
10-2-2 Notetaking Structure
10-2-2 Presentation Method
10-2-2 AVID strategy from AVID/WICOR Google Site",,Loading...,
10-Day Gratitude Journal,"Writing (WICOR), SEL (Social emotional learning), Communication",Writing,"Practicing gratitude has powerful benefits for students including better mental health, greater resilience, stronger social connections, stress reduction, and a more positive mindset about the future.
A Gratitude Journal is a personal reflection (ungraded) with brief entries and optional sharing with peers or the whole class.
This article lists gratitude prompts for 15 days, but this can be shortened as needed.  Each week has a theme . . .
- Week 1: Reflecting on Our School Year\
- Week 2: Appreciating Our Present
- Week 3: Looking Forward with Gratitude
It also has activity ideas such as a gratitude circle, gratitude wall, thank-you letter writing, gratitude quotes, and even planting a gratitude garden. 
Students can continue this journal over the summer to benefit and grow even more",Strategy,End the Year with Gratitude: A 15-Day Journal Practice for Students,,Loading...,
6 Ways to Capture Student Attention,Planning,,"Today’s students crave constant stimulation and entertainment. Ideas to draw them in include -  Read the article for examples.
1. Surprise Them - Add novelty or something unusual/unexpected to arouse curiosity 😲.  Could be a song, odd clothes/accessory.
2. Present Odd Facts, Anomalies - Give students info that contradicts their intuition or a live demo that defies logic 🤯.
3. Invite Student Predictions - Students guess what will happen and eagerly anticipate the “Big Reveal” 😅.
4. Pose a Provocative (Hook) ? - Seek out a burning, open-ended question related to your lesson content. Students will 🤔.
5. Cite a Current Event/Issue - Raise awareness of breaking news 📰 relevant to them. Ask for their reaction/opinion.
6. Be Humorous - Use a funny joke 😂, meme, cartoon, comic strip, song, or video to give students a shot of dopamine and segue into your lesson with momentum.",Strategy,,Loading...,,
Actively Learn,"Reading (WICOR), Critical Thinking, Digital Literacy, Collaboration (WICOR), Communication",,"A digital reading platform that builds critical thinking and digital literacy by embedding questions and scaffolds directly into texts. It fosters collaboration and communication through shared annotations, allowing students to discuss complex ideas in real-time as they read",App - Classlink,,Loading...,Loading...,
Adobe Express,"AI (Artificial intelligence), Collaboration (WICOR), Communication, Creativity/Design",Visual,"A versatile creativity/design tool for creating graphics (Including an AI Image Generator), web pages, and short videos with ease. Students can turn their ideas into visually compelling digital stories.",App - Classlink,,Loading...,Loading...,
Adobe Firefly AI,,,,,,,,
Adobe Podcast,"Communication, Creativity/Design, Collaboration (WICOR), Writing (WICOR)","Auditory, Performance","An AI-enhanced audio tool that focuses on high-quality communication and storytelling. It assists in creativity/design by removing background noise, making student podcasts sound professional.",App - Web-based,,Loading...,Loading...,
Adobe Podcasting,"AI (Artificial intelligence), Communication, Writing (WICOR), Planning",Auditory,"Looking to bring student voices to life? Adobe Podcast is an easy-to-use, browser-based audio tool that lets students record, edit, and enhance their podcasts—all with professional sound quality. With its AI-powered “Enhance Speech” feature, even recordings from a Chromebook sound studio-clear!  Check out this How-to Guide.
Teachers can use Adobe Podcast in any subject
- English: Create character interviews or thematic discussions.
- Social Studies: Record historical reenactments or current event analyses.
- Science: Produce “Science Explained” segments to summarize complex topics.
No fancy equipment needed—just a Chromebook and creativity. Adobe Podcast helps students build communication, storytelling, and digital literacy skills while making learning more engaging.",App - Web-based,"How-to Guide
How to Record and Edit Audio",Loading...,Loading...,
